instance,label,count
http://www.wikidata.org/entity/Q40444998,academic workshop,1880
http://www.wikidata.org/entity/Q2020153,academic conference,540
http://www.wikidata.org/entity/Q7935096,virtual event,164
http://www.wikidata.org/entity/Q1143604,proceedings,14
http://www.wikidata.org/entity/Q27968055,recurrent event edition,1
http://www.wikidata.org/entity/Q98381912,online scholarly workshop,1
http://www.wikidata.org/entity/Q104418497,online event,1
