Fuente,Count
http://polibits.cidetec.ipn.mx,157
https://ijsdir.sadl.kuleuven.be,156
http://eprints.nottingham.ac.uk,154
http://www.ibai-publishing.org,153
http://www.actapress.com,153
https://www.scpe.org,152
http://eprints.aston.ac.uk,152
https://shonan.nii.ac.jp,150
http://www.w3.org,149
http://www.jips-k.org:80,149
http://cs.anu.edu.au,148
http://repositorio.unb.br,148
http://xtf-prod.stanford.edu,147
https://ijcopi.org,146
http://crl.acrl.org,146
https://content.iospress.com,145
http://wscg.zcu.cz,143
https://tacl2013.cs.columbia.edu,142
http://www2.warwick.ac.uk,140
http://www.info.uaic.ro,138
http://www.ub.uni-heidelberg.de,138
http://cjtcs.cs.uchicago.edu,137
http://www.iajit.org,136
http://dh2010.cch.kcl.ac.uk,136
http://www.springer.com,135
http://www.diss.fu-berlin.de,133
https://www.sciencedirect.com,131
http://elib.tu-darmstadt.de,130
http://dspace.library.uu.nl:8080,128
http://www.dirf.org,127
http://bura.brunel.ac.uk,127
http://cit.srce.unizg.hr,125
http://www.jstage.jst.go.jp,123
http://ojps.aip.org,121
http://www.webology.org,121
http://publications.rwth-aachen.de,121
http://urn.fi,121
http://cit.fer.hr,120
http://www.linguamatica.com,119
http://purl.utwente.nl,119
http://www.biomedcentral.com,118
http://ediss.sub.uni-hamburg.de,118
http://orbilu.uni.lu,117
http://www.maxwell.vrac.puc-rio.br,116
http://eprints.kingston.ac.uk,116
http://www.opus.ub.uni-erlangen.de,115
http://logicandanalysis.org,114
http://www.bd.bibl.ita.br,113
https://publikationen.sulb.uni-saarland.de,112
http://pi.informatik.uni-siegen.de,111
http://www.iphils.uj.edu.pl,110
http://www.springerlink.com,109
http://www.cambridge.org,108
http://www.ams.org,107
http://journal.seriousgamessociety.org,107
http://isi.revuesonline.com,105
http://mcfns.com,104
http://jise.iis.sinica.edu.tw:80,103
http://joi.jlc.jst.go.jp,103
https://kluedo.ub.uni-kl.de,103
http://orca.cf.ac.uk,103
https://www.spiedigitallibrary.org,102
https://elbib.ru,100
http://www.tdp.cat,100
http://www.oreilly.com,100
http://www.aes.org,100
http://www.manchester.ac.uk,100
http://www.fedoa.unina.it,100
http://www.sciencedirect.com,99
http://www.db-thueringen.de,99
https://dspace.lboro.ac.uk,99
http://www.jvrb.org,98
http://etheses.dur.ac.uk,96
http://qmro.qmul.ac.uk,95
http://journals.hil.unb.ca,93
http://dn.revuesonline.com,93
http://www.opus-bayern.de,93
http://tede2.pucrs.br,93
https://seer.lcc.ufmg.br,92
http://collegepublications.co.uk,92
http://www.cccg.ca,92
http://eprints.eemcs.utwente.nl,89
http://www.simvis.org,88
http://www.datenbank-spektrum.de,87
https://repositorio.ufsc.br,87
https://arima.episciences.org,86
http://tumb1.biblio.tu-muenchen.de,86
http://oops.uni-oldenburg.de,85
http://elpub.architexturez.net,84
http://www.atala.org,83
https://amc-journal.eu,83
http://www.emeraldinsight.com,82
http://www.jbiomedsem.com,82
http://www.informaworld.com,82
http://bieson.ub.uni-bielefeld.de,81
http://www.graphicsinterface.org,81
http://elbib.kpfu.ru,80
http://www.acm.org,79
https://www.ronpub.com,78
http://kar.kent.ac.uk,78
http://eudl.eu,77
http://ijcopi.org,77
http://conference.iiis.tsinghua.edu.cn,77
http://eprints.lancs.ac.uk,77
http://ria.revuesonline.com,76
https://www.base-search.net,76
http://www.easychair.org,76
https://edoc.ub.uni-muenchen.de,76
https://ojs.bibsys.no,75
http://www.irit.fr,75
http://eu.wiley.com,74
http://www.oegai.at,73
https://opus.bibliothek.uni-wuerzburg.de,72
http://pub.uni-bielefeld.de,72
http://www.icwsm.org,72
http://www.jsoftware.us,71
http://jcse.kiise.org,71
http://ijebm-ojs.ie.nthu.edu.tw,70
http://archiv.ub.uni-marburg.de,70
http://publikationen.ub.uni-frankfurt.de,69
http://sro.sussex.ac.uk,69
http://dad.uni-bielefeld.de,68
https://ub-madoc.bib.uni-mannheim.de,68
